signal_type,company,date,metric_name,metric_value,dimension_1,dimension_2,dimension_3,text_signal,confidence_score,source,strategic_implication
HIRING,Anthropic,2024-01-01,job_postings,28.0,Research Scientist,NYC,,Hiring Research Scientists — signals enterprise push,0.87,LinkedIn Jobs API,Model capability expansion
HIRING,Anthropic,2024-01-01,job_postings,25.0,Sales Engineer,Zurich,,Hiring Sales Engineers — signals product expansion,0.94,LinkedIn Jobs API,Research capability deepening
HIRING,Anthropic,2024-01-01,job_postings,29.0,Enterprise AE,Paris,,Hiring Enterprise AEs — signals enterprise push,0.73,LinkedIn Jobs API,Research capability deepening
HIRING,Anthropic,2024-01-01,job_postings,18.0,Applied Scientist,NYC,,Hiring Applied Scientists — signals enterprise push,0.66,LinkedIn Jobs API,Geographic expansion
HIRING,Anthropic,2024-01-01,job_postings,40.0,Data Engineer,Remote,,Hiring Data Engineers — signals AI research,0.89,LinkedIn Jobs API,Geographic expansion
HIRING,Anthropic,2024-01-01,job_postings,23.0,Security Engineer,NYC,,Hiring Security Engineers — signals product expansion,0.94,LinkedIn Jobs API,Developer ecosystem growth
HIRING,Anthropic,2024-01-01,job_postings,10.0,Infrastructure Eng,London,,Hiring Infrastructure Engs — signals enterprise push,0.81,LinkedIn Jobs API,Security/compliance investment
HIRING,Anthropic,2024-01-31,job_postings,43.0,ML Engineer,SF,,Hiring ML Engineers — signals infra scaling,0.8,LinkedIn Jobs API,Enterprise GTM acceleration
HIRING,Anthropic,2024-01-31,job_postings,1.0,Research Scientist,London,,Hiring Research Scientists — signals product expansion,0.72,LinkedIn Jobs API,Geographic expansion
HIRING,Anthropic,2024-01-31,job_postings,1.0,Enterprise AE,London,,Hiring Enterprise AEs — signals infra scaling,0.85,LinkedIn Jobs API,Enterprise GTM acceleration
HIRING,Anthropic,2024-01-31,job_postings,33.0,Applied Scientist,Zurich,,Hiring Applied Scientists — signals go-to-market build,0.7,LinkedIn Jobs API,Enterprise GTM acceleration
HIRING,Anthropic,2024-01-31,job_postings,10.0,Data Engineer,Zurich,,Hiring Data Engineers — signals enterprise push,0.78,LinkedIn Jobs API,Enterprise GTM acceleration
HIRING,Anthropic,2024-03-01,job_postings,16.0,ML Engineer,Zurich,,Hiring ML Engineers — signals AI research,0.78,LinkedIn Jobs API,Enterprise GTM acceleration
HIRING,Anthropic,2024-03-01,job_postings,20.0,Research Scientist,Paris,,Hiring Research Scientists — signals infra scaling,0.7,LinkedIn Jobs API,Developer ecosystem growth
HIRING,Anthropic,2024-03-01,job_postings,21.0,Sales Engineer,Paris,,Hiring Sales Engineers — signals enterprise push,0.85,LinkedIn Jobs API,Model capability expansion
HIRING,Anthropic,2024-03-01,job_postings,13.0,Product Manager,NYC,,Hiring Product Managers — signals infra scaling,0.68,LinkedIn Jobs API,Geographic expansion
HIRING,Anthropic,2024-03-01,job_postings,30.0,DevRel,Paris,,Hiring DevRels — signals enterprise push,0.76,LinkedIn Jobs API,Developer ecosystem growth
HIRING,Anthropic,2024-03-01,job_postings,45.0,Data Engineer,NYC,,Hiring Data Engineers — signals go-to-market build,0.93,LinkedIn Jobs API,Research capability deepening
HIRING,Anthropic,2024-03-01,job_postings,23.0,Security Engineer,London,,Hiring Security Engineers — signals AI research,0.78,LinkedIn Jobs API,Developer ecosystem growth
HIRING,Anthropic,2024-03-01,job_postings,36.0,Infrastructure Eng,Remote,,Hiring Infrastructure Engs — signals AI research,0.68,LinkedIn Jobs API,Model capability expansion
HIRING,Anthropic,2024-03-31,job_postings,20.0,ML Engineer,SF,,Hiring ML Engineers — signals go-to-market build,0.8,LinkedIn Jobs API,Model capability expansion
HIRING,Anthropic,2024-03-31,job_postings,37.0,Research Scientist,NYC,,Hiring Research Scientists — signals product expansion,0.88,LinkedIn Jobs API,Developer ecosystem growth
HIRING,Anthropic,2024-03-31,job_postings,30.0,Enterprise AE,Paris,,Hiring Enterprise AEs — signals AI research,0.9,LinkedIn Jobs API,Enterprise GTM acceleration
HIRING,Anthropic,2024-03-31,job_postings,42.0,DevRel,Remote,,Hiring DevRels — signals infra scaling,0.83,LinkedIn Jobs API,Security/compliance investment
HIRING,Anthropic,2024-03-31,job_postings,45.0,Applied Scientist,NYC,,Hiring Applied Scientists — signals product expansion,0.69,LinkedIn Jobs API,Geographic expansion
HIRING,Anthropic,2024-03-31,job_postings,4.0,Data Engineer,Zurich,,Hiring Data Engineers — signals enterprise push,0.8,LinkedIn Jobs API,Geographic expansion
HIRING,Anthropic,2024-03-31,job_postings,32.0,Security Engineer,SF,,Hiring Security Engineers — signals enterprise push,0.92,LinkedIn Jobs API,Research capability deepening
